,,,,,,,,,
Area,IEPN,TNodes,Round No,Total Data,Remaining Energy,Energy Consumption,Dead Nodes,Alive Nodes,CH
40000,0.5,75,91,58434,34.815012,2.684988,0,75,4
40000,0.5,75,92,59053,34.807695,2.692305,0,75,4
40000,0.5,75,93,59691,34.77008,2.72992,0,75,4
40000,0.5,75,94,60343,34.734379,2.765621,0,75,4
40000,0.5,75,95,60964,34.692513,2.807487,0,75,3
40000,0.5,75,96,61569,34.653909,2.846091,0,75,4
40000,0.5,75,97,62186,34.613397,2.886603,0,75,4
40000,0.5,75,98,62819,34.578878,2.921122,0,75,4
40000,0.5,75,99,63469,34.543443,2.956557,0,75,4
40000,0.5,75,100,64113,34.508271,2.991729,0,75,4
40000,0.5,75,101,64746,34.472719,3.027281,0,75,4
40000,0.5,75,102,65395,34.437192,3.062808,0,75,4
40000,0.5,75,103,66032,34.400371,3.099629,0,75,4
40000,0.5,75,104,66685,34.363907,3.136093,0,75,4
40000,0.5,75,105,67338,34.357866,3.142134,0,75,4
40000,0.5,75,106,67950,34.317819,3.182181,0,75,4
40000,0.5,75,107,68572,34.282497,3.217503,0,75,4
40000,0.5,75,108,69182,34.244639,3.255361,0,75,4
40000,0.5,75,109,69821,34.208188,3.291812,0,75,4
40000,0.5,75,110,70434,34.172795,3.327205,0,75,4
40000,0.5,75,111,71061,34.136577,3.363423,0,75,4
40000,0.5,75,112,71698,34.130503,3.369497,0,75,4
40000,0.5,75,113,72340,34.089228,3.410772,0,75,4
40000,0.5,75,114,72965,34.049612,3.450388,0,75,4
40000,0.5,75,115,73601,34.014366,3.485634,0,75,4
40000,0.5,75,116,74231,34.008963,3.491037,0,75,4
40000,0.5,75,117,74848,33.973318,3.526682,0,75,3
40000,0.5,75,118,75499,33.938523,3.561477,0,75,4
40000,0.5,75,119,76132,33.900868,3.599132,0,75,4
40000,0.5,75,120,76769,33.864123,3.635877,0,75,4
40000,0.5,75,121,77405,33.858927,3.641073,0,75,4
40000,0.5,75,122,78063,33.853184,3.646816,0,75,4
40000,0.5,75,123,78692,33.818409,3.681591,0,75,4
40000,0.5,75,124,79343,33.813667,3.686333,0,75,4
40000,0.5,75,125,79983,33.777328,3.722672,0,75,4
40000,0.5,75,126,80629,33.74241,3.75759,0,75,4
40000,0.5,75,127,81263,33.736799,3.763201,0,75,4
40000,0.5,75,128,81915,33.693166,3.806834,0,75,4
40000,0.5,75,129,82554,33.657875,3.842125,0,75,4
40000,0.5,75,130,83199,33.621831,3.878169,0,75,4
40000,0.5,75,131,83828,33.585735,3.914265,0,75,4
40000,0.5,75,132,84475,33.551098,3.948902,0,75,4
40000,0.5,75,133,85121,33.5072,3.9928,0,75,4
40000,0.5,75,134,85764,33.50281,3.99719,0,75,4
40000,0.5,75,135,86396,33.459582,4.040418,0,75,4
40000,0.5,75,136,87009,33.423887,4.076113,0,75,4
40000,0.5,75,137,87628,33.418144,4.081856,0,75,4
40000,0.5,75,138,88282,33.374678,4.125322,0,75,4
40000,0.5,75,139,88933,33.339359,4.160641,0,75,4
40000,0.5,75,140,89567,33.302788,4.197212,0,75,4
40000,0.5,75,141,90222,33.297813,4.202187,0,75,4
40000,0.5,75,142,90844,33.254743,4.245257,0,75,4
40000,0.5,75,143,91464,33.246254,4.253746,0,75,4
40000,0.5,75,144,92089,33.201929,4.298071,0,75,4
40000,0.5,75,145,92697,33.154509,4.345491,0,75,4
40000,0.5,75,146,93298,33.118449,4.381551,0,75,4
40000,0.5,75,147,93928,33.074261,4.425739,0,75,5
40000,0.5,75,148,94567,33.037493,4.462507,0,75,4
40000,0.5,75,149,95204,33.00085,4.49915,0,75,3
40000,0.5,75,150,95841,32.95906,4.54094,0,75,4
40000,0.5,75,151,96475,32.920911,4.579089,0,75,4
40000,0.5,75,152,97119,32.885067,4.614933,0,75,4
40000,0.5,75,153,97764,32.878452,4.621548,0,75,3
